 MOVE  ( 47.000000,  35.000000) - ( 49.000000, 35.000000)
 MOVE  ( 49.000000,  35.000000) - ( 49.000000, 35.000000)
 DRAW  ( 49.000000,  35.000000) - ( 50.000000, 35.000000)
 DRAW  ( 50.000000,  35.000000) - ( 50.000000, 35.000000)
 MOVE  ( 50.000000,  35.000000) - ( 0.000000, 35.000000)
 MOVE  ( 0.000000,  35.000000) - ( 0.000000, 35.000000)
 MOVE  ( 0.000000,  35.000000) - ( 0.000000, 36.000000)
 MOVE  ( 0.000000,  36.000000) - ( 0.000000, 36.000000)
 MOVE  ( 0.000000,  36.000000) - ( 17.000000, 36.000000)
 MOVE  ( 17.000000,  36.000000) - ( 17.000000, 36.000000)
 DRAW  ( 17.000000,  36.000000) - ( 18.000000, 36.000000)
 DRAW  ( 18.000000,  36.000000) - ( 18.000000, 36.000000)
 DRAW  ( 18.000000,  36.000000) - ( 19.000000, 36.000000)
 MOVE  ( 19.000000,  36.000000) - ( 27.000000, 36.000000)
 MOVE  ( 27.000000,  36.000000) - ( 27.000000, 36.000000)
 DRAW  ( 27.000000,  36.000000) - ( 28.000000, 36.000000)
 DRAW  ( 28.000000,  36.000000) - ( 28.000000, 36.000000)
 DRAW  ( 28.000000,  36.000000) - ( 29.000000, 36.000000)
 DRAW  ( 29.000000,  36.000000) - ( 29.000000, 36.000000)
 DRAW  ( 29.000000,  36.000000) - ( 30.000000, 36.000000)
 MOVE  ( 30.000000,  36.000000) - ( 40.000000, 36.000000)
 MOVE  ( 40.000000,  36.000000) - ( 40.000000, 36.000000)
 DRAW  ( 40.000000,  36.000000) - ( 41.000000, 36.000000)
 MOVE  ( 41.000000,  36.000000) - ( 43.000000, 36.000000)
 MOVE  ( 43.000000,  36.000000) - ( 43.000000, 36.000000)
 DRAW  ( 43.000000,  36.000000) - ( 44.000000, 36.000000)
 DRAW  ( 44.000000,  36.000000) - ( 44.000000, 36.000000)
 DRAW  ( 44.000000,  36.000000) - ( 45.000000, 36.000000)
 MOVE  ( 45.000000,  36.000000) - ( 48.000000, 36.000000)
 MOVE  ( 48.000000,  36.000000) - ( 48.000000, 36.000000)
 DRAW  ( 48.000000,  36.000000) - ( 49.000000, 36.000000)
 DRAW  ( 49.000000,  36.000000) - ( 49.000000, 36.000000)
 DRAW  ( 49.000000,  36.000000) - ( 50.000000, 36.000000)
 DRAW  ( 50.000000,  36.000000) - ( 50.000000, 36.000000)
 MOVE  ( 50.000000,  36.000000) - ( 0.000000, 36.000000)
 MOVE  ( 0.000000,  36.000000) - ( 0.000000, 36.000000)
 MOVE  ( 0.000000,  36.000000) - ( 0.000000, 37.000000)
 MOVE  ( 0.000000,  37.000000) - ( 0.000000, 37.000000)
 MOVE  ( 0.000000,  37.000000) - ( 16.000000, 37.000000)
 MOVE  ( 16.000000,  37.000000) - ( 16.000000, 37.000000)
 DRAW  ( 16.000000,  37.000000) - ( 17.000000, 37.000000)
 DRAW  ( 17.000000,  37.000000) - ( 17.000000, 37.000000)
 DRAW  ( 17.000000,  37.000000) - ( 18.000000, 37.000000)
 DRAW  ( 18.000000,  37.000000) - ( 18.000000, 37.000000)
 DRAW  ( 18.000000,  37.000000) - ( 19.000000, 37.000000)
 DRAW  ( 19.000000,  37.000000) - ( 19.000000, 37.000000)
 DRAW  ( 19.000000,  37.000000) - ( 20.000000, 37.000000)
 DRAW  ( 20.000000,  37.000000) - ( 20.000000, 37.000000)
 DRAW  ( 20.000000,  37.000000) - ( 21.000000, 37.000000)
 DRAW  ( 21.000000,  37.000000) - ( 21.000000, 37.000000)
 DRAW  ( 21.000000,  37.000000) - ( 22.000000, 37.000000)
 DRAW  ( 22.000000,  37.000000) - ( 22.000000, 37.000000)
 DRAW  ( 22.000000,  37.000000) - ( 23.000000, 37.000000)
 MOVE  ( 23.000000,  37.000000) - ( 24.000000, 37.000000)
 MOVE  ( 24.000000,  37.000000) - ( 24.000000, 37.000000)
 DRAW  ( 24.000000,  37.000000) - ( 25.000000, 37.000000)
 DRAW  ( 25.000000,  37.000000) - ( 25.000000, 37.000000)
 DRAW  ( 25.000000,  37.000000) - ( 26.000000, 37.000000)
 DRAW  ( 26.000000,  37.000000) - ( 26.000000, 37.000000)
 DRAW  ( 26.000000,  37.000000) - ( 27.000000, 37.000000)
 MOVE  ( 27.000000,  37.000000) - ( 40.000000, 37.000000)
 MOVE  ( 40.000000,  37.000000) - ( 40.000000, 37.000000)
 DRAW  ( 40.000000,  37.000000) - ( 41.000000, 37.000000)
 DRAW  ( 41.000000,  37.000000) - ( 41.000000, 37.000000)
 DRAW  ( 41.000000,  37.000000) - ( 42.000000, 37.000000)
 DRAW  ( 42.000000,  37.000000) - ( 42.000000, 37.000000)
 DRAW  ( 42.000000,  37.000000) - ( 43.000000, 37.000000)
 DRAW  ( 43.000000,  37.000000) - ( 43.000000, 37.000000)
 DRAW  ( 43.000000,  37.000000) - ( 44.000000, 37.000000)
 DRAW  ( 44.000000,  37.000000) - ( 44.000000, 37.000000)
 DRAW  ( 44.000000,  37.000000) - ( 46.000000, 37.000000)
 DRAW  ( 46.000000,  37.000000) - ( 46.000000, 37.000000)
 DRAW  ( 46.000000,  37.000000) - ( 47.000000, 37.000000)
 DRAW  ( 47.000000,  37.000000) - ( 47.000000, 37.000000)
 DRAW  ( 47.000000,  37.000000) - ( 48.000000, 37.000000)
 DRAW  ( 48.000000,  37.000000) - ( 48.000000, 37.000000)
 DRAW  ( 48.000000,  37.000000) - ( 49.000000, 37.000000)
 MOVE  ( 49.000000,  37.000000) - ( 50.000000, 37.000000)
 MOVE  ( 50.000000,  37.000000) - ( 50.000000, 37.000000)
 DRAW  ( 50.000000,  37.000000) - ( 51.000000, 37.000000)
 DRAW  ( 51.000000,  37.000000) - ( 51.000000, 37.000000)
 MOVE  ( 51.000000,  37.000000) - ( 0.000000, 37.000000)
 MOVE  ( 0.000000,  37.000000) - ( 0.000000, 37.000000)
 MOVE  ( 0.000000,  37.000000) - ( 0.000000, 38.000000)
 MOVE  ( 0.000000,  38.000000) - ( 0.000000, 38.000000)
 MOVE  ( 0.000000,  38.000000) - ( 0.000000, 38.000000)
 MOVE  ( 0.000000,  38.000000) - ( 0.000000, 38.000000)
 DRAW  ( 0.000000,  38.000000) - ( 17.000000, 38.000000)
 MOVE  ( 17.000000,  38.000000) - ( 18.000000, 38.000000)
 MOVE  ( 18.000000,  38.000000) - ( 18.000000, 38.000000)
 MOVE  ( 18.000000,  38.000000) - ( 18.000000, 38.000000)
 DRAW  ( 18.000000,  38.000000) - ( 19.000000, 38.000000)
 MOVE  ( 19.000000,  38.000000) - ( 20.000000, 38.000000)
 MOVE  ( 20.000000,  38.000000) - ( 20.000000, 38.000000)
 DRAW  ( 20.000000,  38.000000) - ( 21.000000, 38.000000)
 DRAW  ( 21.000000,  38.000000) - ( 21.000000, 38.000000)
 DRAW  ( 21.000000,  38.000000) - ( 22.000000, 38.000000)
 DRAW  ( 22.000000,  38.000000) - ( 22.000000, 38.000000)
 DRAW  ( 22.000000,  38.000000) - ( 23.000000, 38.000000)
 DRAW  ( 23.000000,  38.000000) - ( 23.000000, 38.000000)
 DRAW  ( 23.000000,  38.000000) - ( 24.000000, 38.000000)
 DRAW  ( 24.000000,  38.000000) - ( 24.000000, 38.000000)
 DRAW  ( 24.000000,  38.000000) - ( 25.000000, 38.000000)
 DRAW  ( 25.000000,  38.000000) - ( 25.000000, 38.000000)
 DRAW  ( 25.000000,  38.000000) - ( 26.000000, 38.000000)
 DRAW  ( 26.000000,  38.000000) - ( 26.000000, 38.000000)
 DRAW  ( 26.000000,  38.000000) - ( 27.000000, 38.000000)
 MOVE  ( 27.000000,  38.000000) - ( 28.000000, 38.000000)
 MOVE  ( 28.000000,  38.000000) - ( 28.000000, 38.000000)
 MOVE  ( 28.000000,  38.000000) - ( 28.000000, 38.000000)
 DRAW  ( 28.000000,  38.000000) - ( 41.000000, 38.000000)
 DRAW  ( 41.000000,  38.000000) - ( 41.000000, 38.000000)
 MOVE  ( 41.000000,  38.000000) - ( 42.000000, 38.000000)
 MOVE  ( 42.000000,  38.000000) - ( 42.000000, 38.000000)
 DRAW  ( 42.000000,  38.000000) - ( 43.000000, 38.000000)
 DRAW  ( 43.000000,  38.000000) - ( 43.000000, 38.000000)
 DRAW  ( 43.000000,  38.000000) - ( 44.000000, 38.000000)
 MOVE  ( 44.000000,  38.000000) - ( 46.000000, 38.000000)
 MOVE  ( 46.000000,  38.000000) - ( 46.000000, 38.000000)
 DRAW  ( 46.000000,  38.000000) - ( 47.000000, 38.000000)
 DRAW  ( 47.000000,  38.000000) - ( 47.000000, 38.000000)
 DRAW  ( 47.000000,  38.000000) - ( 48.000000, 38.000000)
 DRAW  ( 48.000000,  38.000000) - ( 48.000000, 38.000000)
 DRAW  ( 48.000000,  38.000000) - ( 49.000000, 38.000000)
 DRAW  ( 49.000000,  38.000000) - ( 49.000000, 38.000000)
 DRAW  ( 49.000000,  38.000000) - ( 50.000000, 38.000000)
 DRAW  ( 50.000000,  38.000000) - ( 50.000000, 38.000000)
 DRAW  ( 50.000000,  38.000000) - ( 51.000000, 38.000000)
 MOVE  ( 51.000000,  38.000000) - ( 52.000000, 38.000000)
 MOVE  ( 52.000000,  38.000000) - ( 52.000000, 38.000000)
 MOVE  ( 52.000000,  38.000000) - ( 52.000000, 38.000000)
 DRAW  ( 52.000000,  38.000000) - ( 72.000000, 38.000000)
 DRAW  ( 72.000000,  38.000000) - ( 72.000000, 38.000000)
 MOVE  ( 72.000000,  38.000000) - ( 0.000000, 38.000000)
 MOVE  ( 0.000000,  38.000000) - ( 0.000000, 38.000000)
 MOVE  ( 0.000000,  38.000000) - ( 0.000000, 39.000000)
 MOVE  ( 0.000000,  39.000000) - ( 0.000000, 39.000000)
 MOVE  ( 0.000000,  39.000000) - ( 0.000000, 39.000000)
 DRAW  ( 0.000000,  39.000000) - ( 72.000000, 39.000000)
 DRAW  ( 72.000000,  39.000000) - ( 72.000000, 39.000000)
 MOVE  ( 72.000000,  39.000000) - ( 0.000000, 39.000000)
 MOVE  ( 0.000000,  39.000000) - ( 0.000000, 39.000000)
 MOVE  ( 0.000000,  39.000000) - ( 0.000000, 40.000000)
 MOVE  ( 0.000000,  40.000000) - ( 0.000000, 40.000000)
 MOVE  ( 0.000000,  40.000000) - ( 0.000000, 40.000000)
 DRAW  ( 0.000000,  40.000000) - ( 72.000000, 40.000000)
 DRAW  ( 72.000000,  40.000000) - ( 72.000000, 40.000000)
 MOVE  ( 72.000000,  40.000000) - ( 0.000000, 40.000000)
 MOVE  ( 0.000000,  40.000000) - ( 0.000000, 40.000000)
 MOVE  ( 0.000000,  40.000000) - ( 0.000000, 41.000000)
 MOVE  ( 0.000000,  41.000000) - ( 0.000000, 41.000000)
 MOVE  ( 0.000000,  41.000000) - ( 0.000000, 41.000000)
 DRAW  ( 0.000000,  41.000000) - ( 72.000000, 41.000000)
 DRAW  ( 72.000000,  41.000000) - ( 72.000000, 41.000000)
 MOVE  ( 72.000000,  41.000000) - ( 0.000000, 41.000000)
 MOVE  ( 0.000000,  41.000000) - ( 0.000000, 41.000000)
 MOVE  ( 0.000000,  41.000000) - ( 0.000000, 42.000000)
 MOVE  ( 0.000000,  42.000000) - ( 0.000000, 42.000000)
 MOVE  ( 0.000000,  42.000000) - ( 0.000000, 42.000000)
 DRAW  ( 0.000000,  42.000000) - ( 72.000000, 42.000000)
----------
 (null)  ( 0.000000,  0.000000) - ( 0.000000, 0.000000)
 (null)  ( 0.000000,  0.000000) - ( 0.000000, 0.000000)
 MOVE  ( 0.000000,  0.000000) - ( 18.000000, 0.000000)
 MOVE  ( 18.000000,  0.000000) - ( 18.000000, 0.000000)
 DRAW  ( 18.000000,  0.000000) - ( 19.000000, 0.000000)
 DRAW  ( 19.000000,  0.000000) - ( 19.000000, 0.000000)
 DRAW  ( 19.000000,  0.000000) - ( 20.000000, 0.000000)
 DRAW  ( 20.000000,  0.000000) - ( 20.000000, 0.000000)
 DRAW  ( 20.000000,  0.000000) - ( 21.000000, 0.000000)
 DRAW  ( 21.000000,  0.000000) - ( 21.000000, 0.000000)
 DRAW  ( 21.000000,  0.000000) - ( 22.000000, 0.000000)
 DRAW  ( 22.000000,  0.000000) - ( 22.000000, 0.000000)
 DRAW  ( 22.000000,  0.000000) - ( 23.000000, 0.000000)
 DRAW  ( 23.000000,  0.000000) - ( 23.000000, 0.000000)
 DRAW  ( 23.000000,  0.000000) - ( 25.000000, 0.000000)
 DRAW  ( 25.000000,  0.000000) - ( 25.000000, 0.000000)
 MOVE  ( 25.000000,  0.000000) - ( 0.000000, 0.000000)
 MOVE  ( 0.000000,  0.000000) - ( 0.000000, 0.000000)
 MOVE  ( 0.000000,  0.000000) - ( 0.000000, 1.000000)
 MOVE  ( 0.000000,  1.000000) - ( 0.000000, 1.000000)
 MOVE  ( 0.000000,  1.000000) - ( 18.000000, 1.000000)
 MOVE  ( 18.000000,  1.000000) - ( 18.000000, 1.000000)
 DRAW  ( 18.000000,  1.000000) - ( 19.000000, 1.000000)
 DRAW  ( 19.000000,  1.000000) - ( 19.000000, 1.000000)
 DRAW  ( 19.000000,  1.000000) - ( 20.000000, 1.000000)
 MOVE  ( 20.000000,  1.000000) - ( 25.000000, 1.000000)
 MOVE  ( 25.000000,  1.000000) - ( 25.000000, 1.000000)
 DRAW  ( 25.000000,  1.000000) - ( 26.000000, 1.000000)
 DRAW  ( 26.000000,  1.000000) - ( 26.000000, 1.000000)
 DRAW  ( 26.000000,  1.000000) - ( 27.000000, 1.000000)
 MOVE  ( 27.000000,  1.000000) - ( 29.000000, 1.000000)
 MOVE  ( 29.000000,  1.000000) - ( 29.000000, 1.000000)
 DRAW  ( 29.000000,  1.000000) - ( 30.000000, 1.000000)
 DRAW  ( 30.000000,  1.000000) - ( 30.000000, 1.000000)
 MOVE  ( 30.000000,  1.000000) - ( 0.000000, 1.000000)
 MOVE  ( 0.000000,  1.000000) - ( 0.000000, 1.000000)
 MOVE  ( 0.000000,  1.000000) - ( 0.000000, 2.000000)
 MOVE  ( 0.000000,  2.000000) - ( 0.000000, 2.000000)
 MOVE  ( 0.000000,  2.000000) - ( 15.000000, 2.000000)
 MOVE  ( 15.000000,  2.000000) - ( 15.000000, 2.000000)
 DRAW  ( 15.000000,  2.000000) - ( 16.000000, 2.000000)
 DRAW  ( 16.000000,  2.000000) - ( 16.000000, 2.000000)
 DRAW  ( 16.000000,  2.000000) - ( 18.000000, 2.000000)
 DRAW  ( 18.000000,  2.000000) - ( 18.000000, 2.000000)
 DRAW  ( 18.000000,  2.000000) - ( 19.000000, 2.000000)
 MOVE  ( 19.000000,  2.000000) - ( 21.000000, 2.000000)
 MOVE  ( 21.000000,  2.000000) - ( 21.000000, 2.000000)
 DRAW  ( 21.000000,  2.000000) - ( 23.000000, 2.000000)
 DRAW  ( 23.000000,  2.000000) - ( 23.000000, 2.000000)
 DRAW  ( 23.000000,  2.000000) - ( 24.000000, 2.000000)
 DRAW  ( 24.000000,  2.000000) - ( 24.000000, 2.000000)
 DRAW  ( 24.000000,  2.000000) - ( 25.000000, 2.000000)
 DRAW  ( 25.000000,  2.000000) - ( 25.000000, 2.000000)
 DRAW  ( 25.000000,  2.000000) - ( 26.000000, 2.000000)
 DRAW  ( 26.000000,  2.000000) - ( 26.000000, 2.000000)
 DRAW  ( 26.000000,  2.000000) - ( 27.000000, 2.000000)
 DRAW  ( 27.000000,  2.000000) - ( 27.000000, 2.000000)
 DRAW  ( 27.000000,  2.000000) - ( 28.000000, 2.000000)
 DRAW  ( 28.000000,  2.000000) - ( 28.000000, 2.000000)
 DRAW  ( 28.000000,  2.000000) - ( 29.000000, 2.000000)
 MOVE  ( 29.000000,  2.000000) - ( 30.000000, 2.000000)
 MOVE  ( 30.000000,  2.000000) - ( 30.000000, 2.000000)
 DRAW  ( 30.000000,  2.000000) - ( 31.000000, 2.000000)
 DRAW  ( 31.000000,  2.000000) - ( 31.000000, 2.000000)
 DRAW  ( 31.000000,  2.000000) - ( 32.000000, 2.000000)
 DRAW  ( 32.000000,  2.000000) - ( 32.000000, 2.000000)
 MOVE  ( 32.000000,  2.000000) - ( 0.000000, 2.000000)
 MOVE  ( 0.000000,  2.000000) - ( 0.000000, 2.000000)
 MOVE  ( 0.000000,  2.000000) - ( 0.000000, 3.000000)
 MOVE  ( 0.000000,  3.000000) - ( 0.000000, 3.000000)
 MOVE  ( 0.000000,  3.000000) - ( 14.000000, 3.000000)
 MOVE  ( 14.000000,  3.000000) - ( 14.000000, 3.000000)
 DRAW  ( 14.000000,  3.000000) - ( 15.000000, 3.000000)
 MOVE  ( 15.000000,  3.000000) - ( 19.000000, 3.000000)
 MOVE  ( 19.000000,  3.000000) - ( 19.000000, 3.000000)
 DRAW  ( 19.000000,  3.000000) - ( 20.000000, 3.000000)
 DRAW  ( 20.000000,  3.000000) - ( 20.000000, 3.000000)
 DRAW  ( 20.000000,  3.000000) - ( 21.000000, 3.000000)
 MOVE  ( 21.000000,  3.000000) - ( 30.000000, 3.000000)
 MOVE  ( 30.000000,  3.000000) - ( 30.000000, 3.000000)
 DRAW  ( 30.000000,  3.000000) - ( 31.000000, 3.000000)
 DRAW  ( 31.000000,  3.000000) - ( 31.000000, 3.000000)
 DRAW  ( 31.000000,  3.000000) - ( 32.000000, 3.000000)
 DRAW  ( 32.000000,  3.000000) - ( 32.000000, 3.000000)
 MOVE  ( 32.000000,  3.000000) - ( 0.000000, 3.000000)
 MOVE  ( 0.000000,  3.000000) - ( 0.000000, 3.000000)
 MOVE  ( 0.000000,  3.000000) - ( 0.000000, 4.000000)
 MOVE  ( 0.000000,  4.000000) - ( 0.000000, 4.000000)
 MOVE  ( 0.000000,  4.000000) - ( 14.000000, 4.000000)
 MOVE  ( 14.000000,  4.000000) - ( 14.000000, 4.000000)
 DRAW  ( 14.000000,  4.000000) - ( 15.000000, 4.000000)
 DRAW  ( 15.000000,  4.000000) - ( 15.000000, 4.000000)
 DRAW  ( 15.000000,  4.000000) - ( 16.000000, 4.000000)
 MOVE  ( 16.000000,  4.000000) - ( 19.000000, 4.000000)
 MOVE  ( 19.000000,  4.000000) - ( 19.000000, 4.000000)
 DRAW  ( 19.000000,  4.000000) - ( 20.000000, 4.000000)
 MOVE  ( 20.000000,  4.000000) - ( 30.000000, 4.000000)
 MOVE  ( 30.000000,  4.000000) - ( 30.000000, 4.000000)
 DRAW  ( 30.000000,  4.000000) - ( 31.000000, 4.000000)
 DRAW  ( 31.000000,  4.000000) - ( 31.000000, 4.000000)
 DRAW  ( 31.000000,  4.000000) - ( 32.000000, 4.000000)
 DRAW  ( 32.000000,  4.000000) - ( 32.000000, 4.000000)
 MOVE  ( 32.000000,  4.000000) - ( 0.000000, 4.000000)
 MOVE  ( 0.000000,  4.000000) - ( 0.000000, 4.000000)
 MOVE  ( 0.000000,  4.000000) - ( 0.000000, 5.000000)
 MOVE  ( 0.000000,  5.000000) - ( 0.000000, 5.000000)
 MOVE  ( 0.000000,  5.000000) - ( 16.000000, 5.000000)
 MOVE  ( 16.000000,  5.000000) - ( 16.000000, 5.000000)
 DRAW  ( 16.000000,  5.000000) - ( 17.000000, 5.000000)
 MOVE  ( 17.000000,  5.000000) - ( 19.000000, 5.000000)
 MOVE  ( 19.000000,  5.000000) - ( 19.000000, 5.000000)
 DRAW  ( 19.000000,  5.000000) - ( 20.000000, 5.000000)
 DRAW  ( 20.000000,  5.000000) - ( 20.000000, 5.000000)
 DRAW  ( 20.000000,  5.000000) - ( 22.000000, 5.000000)
 DRAW  ( 22.000000,  5.000000) - ( 22.000000, 5.000000)
 DRAW  ( 22.000000,  5.000000) - ( 23.000000, 5.000000)
 MOVE  ( 23.000000,  5.000000) - ( 26.000000, 5.000000)
 MOVE  ( 26.000000,  5.000000) - ( 26.000000, 5.000000)
 DRAW  ( 26.000000,  5.000000) - ( 27.000000, 5.000000)
 DRAW  ( 27.000000,  5.000000) - ( 27.000000, 5.000000)
 DRAW  ( 27.000000,  5.000000) - ( 28.000000, 5.000000)
 DRAW  ( 28.000000,  5.000000) - ( 28.000000, 5.000000)
 DRAW  ( 28.000000,  5.000000) - ( 29.000000, 5.000000)
 DRAW  ( 29.000000,  5.000000) - ( 29.000000, 5.000000)
 DRAW  ( 29.000000,  5.000000) - ( 30.000000, 5.000000)
 DRAW  ( 30.000000,  5.000000) - ( 30.000000, 5.000000)
 MOVE  ( 30.000000,  5.000000) - ( 0.000000, 5.000000)
 MOVE  ( 0.000000,  5.000000) - ( 0.000000, 5.000000)
 MOVE  ( 0.000000,  5.000000) - ( 0.000000, 6.000000)
 MOVE  ( 0.000000,  6.000000) - ( 0.000000, 6.000000)
 MOVE  ( 0.000000,  6.000000) - ( 17.000000, 6.000000)
 MOVE  ( 17.000000,  6.000000) - ( 17.000000, 6.000000)
 DRAW  ( 17.000000,  6.000000) - ( 18.000000, 6.000000)
 DRAW  ( 18.000000,  6.000000) - ( 18.000000, 6.000000)
 DRAW  ( 18.000000,  6.000000) - ( 19.000000, 6.000000)
 DRAW  ( 19.000000,  6.000000) - ( 19.000000, 6.000000)
 DRAW  ( 19.000000,  6.000000) - ( 20.000000, 6.000000)
 MOVE  ( 20.000000,  6.000000) - ( 23.000000, 6.000000)
 MOVE  ( 23.000000,  6.000000) - ( 23.000000, 6.000000)
 DRAW  ( 23.000000,  6.000000) - ( 24.000000, 6.000000)
 MOVE  ( 24.000000,  6.000000) - ( 26.000000, 6.000000)
 MOVE  ( 26.000000,  6.000000) - ( 26.000000, 6.000000)
 DRAW  ( 26.000000,  6.000000) - ( 27.000000, 6.000000)
 DRAW  ( 27.000000,  6.000000) - ( 27.000000, 6.000000)
 MOVE  ( 27.000000,  6.000000) - ( 0.000000, 6.000000)
 MOVE  ( 0.000000,  6.000000) - ( 0.000000, 6.000000)
 MOVE  ( 0.000000,  6.000000) - ( 0.000000, 7.000000)
 MOVE  ( 0.000000,  7.000000) - ( 0.000000, 7.000000)
 MOVE  ( 0.000000,  7.000000) - ( 20.000000, 7.000000)
 MOVE  ( 20.000000,  7.000000) - ( 20.000000, 7.000000)
 DRAW  ( 20.000000,  7.000000) - ( 21.000000, 7.000000)
 DRAW  ( 21.000000,  7.000000) - ( 21.000000, 7.000000)
 DRAW  ( 21.000000,  7.000000) - ( 22.000000, 7.000000)
 MOVE  ( 22.000000,  7.000000) - ( 23.000000, 7.000000)
 MOVE  ( 23.000000,  7.000000) - ( 23.000000, 7.000000)
 DRAW  ( 23.000000,  7.000000) - ( 24.000000, 7.000000)
 DRAW  ( 24.000000,  7.000000) - ( 24.000000, 7.000000)
 DRAW  ( 24.000000,  7.000000) - ( 25.000000, 7.000000)
 MOVE  ( 25.000000,  7.000000) - ( 26.000000, 7.000000)
 MOVE  ( 26.000000,  7.000000) - ( 26.000000, 7.000000)
 DRAW  ( 26.000000,  7.000000) - ( 27.000000, 7.000000)
 DRAW  ( 27.000000,  7.000000) - ( 27.000000, 7.000000)
 MOVE  ( 27.000000,  7.000000) - ( 0.000000, 7.000000)
 MOVE  ( 0.000000,  7.000000) - ( 0.000000, 7.000000)
 MOVE  ( 0.000000,  7.000000) - ( 0.000000, 8.000000)
 MOVE  ( 0.000000,  8.000000) - ( 0.000000, 8.000000)
 MOVE  ( 0.000000,  8.000000) - ( 21.000000, 8.000000)
 MOVE  ( 21.000000,  8.000000) - ( 21.000000, 8.000000)
 DRAW  ( 21.000000,  8.000000) - ( 22.000000, 8.000000)
 DRAW  ( 22.000000,  8.000000) - ( 22.000000, 8.000000)
 DRAW  ( 22.000000,  8.000000) - ( 24.000000, 8.000000)
 DRAW  ( 24.000000,  8.000000) - ( 24.000000, 8.000000)
 DRAW  ( 24.000000,  8.000000) - ( 25.000000, 8.000000)
 DRAW  ( 25.000000,  8.000000) - ( 25.000000, 8.000000)
 DRAW  ( 25.000000,  8.000000) - ( 26.000000, 8.000000)
 DRAW  ( 26.000000,  8.000000) - ( 26.000000, 8.000000)
 DRAW  ( 26.000000,  8.000000) - ( 27.000000, 8.000000)
 DRAW  ( 27.000000,  8.000000) - ( 27.000000, 8.000000)
 DRAW  ( 27.000000,  8.000000) - ( 27.000000, 8.000000)
 MOVE  ( 27.000000,  8.000000) - ( 33.000000, 8.000000)
 MOVE  ( 33.000000,  8.000000) - ( 33.000000, 8.000000)
 DRAW  ( 33.000000,  8.000000) - ( 36.000000, 8.000000)
 DRAW  ( 36.000000,  8.000000) - ( 36.000000, 8.000000)
 DRAW  ( 36.000000,  8.000000) - ( 37.000000, 8.000000)
 DRAW  ( 37.000000,  8.000000) - ( 37.000000, 8.000000)
 MOVE  ( 37.000000,  8.000000) - ( 0.000000, 8.000000)
 MOVE  ( 0.000000,  8.000000) - ( 0.000000, 8.000000)
 MOVE  ( 0.000000,  8.000000) - ( 0.000000, 9.000000)
 MOVE  ( 0.000000,  9.000000) - ( 0.000000, 9.000000)
 MOVE  ( 0.000000,  9.000000) - ( 26.000000, 9.000000)
 MOVE  ( 26.000000,  9.000000) - ( 26.000000, 9.000000)
 MOVE  ( 26.000000,  9.000000) - ( 26.000000, 9.000000)
 MOVE  ( 26.000000,  9.000000) - ( 26.000000, 9.000000)
 DRAW  ( 26.000000,  9.000000) - ( 27.000000, 9.000000)
 MOVE  ( 27.000000,  9.000000) - ( 32.000000, 9.000000)
 MOVE  ( 32.000000,  9.000000) - ( 32.000000, 9.000000)
 MOVE  ( 32.000000,  9.000000) - ( 32.000000, 9.000000)
 MOVE  ( 32.000000,  9.000000) - ( 32.000000, 9.000000)
 DRAW  ( 32.000000,  9.000000) - ( 33.000000, 9.000000)
 DRAW  ( 33.000000,  9.000000) - ( 33.000000, 9.000000)
 DRAW  ( 33.000000,  9.000000) - ( 34.000000, 9.000000)
 DRAW  ( 34.000000,  9.000000) - ( 34.000000, 9.000000)
 DRAW  ( 34.000000,  9.000000) - ( 35.000000, 9.000000)
 DRAW  ( 35.000000,  9.000000) - ( 35.000000, 9.000000)
 DRAW  ( 35.000000,  9.000000) - ( 36.000000, 9.000000)
 MOVE  ( 36.000000,  9.000000) - ( 37.000000, 9.000000)
 MOVE  ( 37.000000,  9.000000) - ( 37.000000, 9.000000)
 DRAW  ( 37.000000,  9.000000) - ( 38.000000, 9.000000)
 DRAW  ( 38.000000,  9.000000) - ( 38.000000, 9.000000)
 MOVE  ( 38.000000,  9.000000) - ( 0.000000, 9.000000)
 MOVE  ( 0.000000,  9.000000) - ( 0.000000, 9.000000)
 MOVE  ( 0.000000,  9.000000) - ( 0.000000, 10.000000)
 MOVE  ( 0.000000,  10.000000) - ( 0.000000, 10.000000)
 MOVE  ( 0.000000,  10.000000) - ( 16.000000, 10.000000)
 MOVE  ( 16.000000,  10.000000) - ( 16.000000, 10.000000)
 DRAW  ( 16.000000,  10.000000) - ( 17.000000, 10.000000)
 DRAW  ( 17.000000,  10.000000) - ( 17.000000, 10.000000)
 DRAW  ( 17.000000,  10.000000) - ( 18.000000, 10.000000)
 DRAW  ( 18.000000,  10.000000) - ( 18.000000, 10.000000)
 DRAW  ( 18.000000,  10.000000) - ( 18.000000, 10.000000)
 DRAW  ( 18.000000,  10.000000) - ( 18.000000, 10.000000)
 DRAW  ( 18.000000,  10.000000) - ( 19.000000, 10.000000)
 MOVE  ( 19.000000,  10.000000) - ( 27.000000, 10.000000)
 MOVE  ( 27.000000,  10.000000) - ( 27.000000, 10.000000)
 MOVE  ( 27.000000,  10.000000) - ( 27.000000, 10.000000)
 MOVE  ( 27.000000,  10.000000) - ( 27.000000, 10.000000)
